country,category,value
Pakistan,Exports,1251.63194
Nepal,Exports,24.704668
Bangladesh,Exports,319.769758
Sri Lanka,Exports,197.631294
Burma,Exports,5.464172
Thailand,Exports,7256.616259
Vietnam,Exports,1193.152202
Laos,Exports,9.807849
Cambodia,Exports,69.652929
Malaysia,Exports,10460.83317
Singapore,Exports,20466.07346
Indonesia,Exports,3053.913961
East Timor,Exports,8.685474
Brunei,Exports,49.614155
Philippines,Exports,6895.406023
Macau,Exports,101.575899
Bhutan,Exports,3.05218
Maldives,Exports,9.25555
China,Exports,41192.01012
Mongolia,Exports,21.879286
"Korea, North",Exports,5.757048
"Korea, South",Exports,27571.60598
Hong Kong,Exports,16351.02861
Taiwan,Exports,21614.49693
Japan,Exports,54680.57985
Australia,Exports,15588.51968
Norfolk Island,Exports,0.391532
Cocos (Keeling) Islands,Exports,1.048051
Christmas Island,Exports,2.00592
Heard and McDonald Islands,Exports,0.160607
Papua New Guinea,Exports,55.347872
New Zealand,Exports,2592.076963
Cook Islands,Exports,1.372809
Tokelau,Exports,79.822527
Niue,Exports,0.607643
Samoa,Exports,14.538961
Solomon Islands,Exports,2.297431
Vanuatu,Exports,9.138578
Pitcairn Islands,Exports,0.45629
Kiribati,Exports,2.411608
Tuvalu,Exports,0.04246
New Caledonia,Exports,38.403106
Wallis and Futuna,Exports,0.408737
French Polynesia,Exports,111.838384
Marshall Islands,Exports,75.48435
Micronesia,Exports,25.349268
Palau,Exports,12.22524
Nauru,Exports,1.62475
Fiji,Exports,28.177593
Tonga,Exports,9.685131
Morocco,Exports,480.792527
Algeria,Exports,1106.190448
Tunisia,Exports,261.16652
Libya,Exports,83.841985
Egypt,Exports,3159.259288
Sudan,Exports,108.105454
Western Sahara,Exports,0.028656
Equatorial Guinea,Exports,281.472431
Mauritania,Exports,86.135221
Cameroon,Exports,117.313887
Senegal,Exports,141.499953
Mali,Exports,32.421928
Guinea,Exports,93.59706
Sierra Leone,Exports,37.829353
Cote d'Ivoire,Exports,124.242832
Ghana,Exports,337.389713
Gambia,Exports,30.604418
Niger,Exports,78.511944
Togo,Exports,27.928388
Nigeria,Exports,1619.788459
Central African Republic,Exports,14.781003
Gabon,Exports,99.105857
Chad,Exports,53.752155
St Helena,Exports,2.732629
Burkina Faso,Exports,25.11081
Benin,Exports,72.278749
Angola,Exports,929.046776
Congo (Brazzaville),Exports,104.056096
Guinea-Bissau,Exports,2.100355
Cabo Verde,Exports,9.871825
Sao Tome and Principe,Exports,10.153283
Liberia,Exports,69.32032
Congo (Kinshasa),Exports,64.968131
Burundi,Exports,8.121178
Rwanda,Exports,10.534162
Somalia,Exports,8.831504
Eritrea,Exports,31.058711
Ethiopia,Exports,455.635812
Djibouti,Exports,47.571125
Uganda,Exports,62.573652
Kenya,Exports,573.365497
Seychelles,Exports,17.912292
British Indian Ocean Terr.,Exports,0.806112
Tanzania,Exports,96.44391
Mauritius,Exports,30.860179
Mozambique,Exports,62.825299
Madagascar,Exports,28.205237
Comoros,Exports,0.295219
Reunion,Exports,3.78591
French Southern and Antarctic,Exports,0.273678
South Africa,Exports,3906.946741
Namibia,Exports,112.249178
Botswana,Exports,67.272144
Zambia,Exports,29.113109
Swaziland,Exports,11.856893
Zimbabwe,Exports,45.540976
