country,venue,medals
Australia,1984 Sarajevo,0
Australia,1988 Calgary,0
Australia,1992 Albertville,0
Australia,1994 Lillehammer,0
Australia,1998 Nagano,1
Australia,2002 Salt Lake City,1
Australia,2006 Turin,2
Australia,2010 Vancouver,2
Australia,2014 Sochi,3
Belgium,1924 Chamonix,0
Belgium,1928 St. Moritz,1
Belgium,1932 Lake Placid,1
Belgium,1935 Garmisch-Partenkirchen,0
Belgium,1940 Cancelled (Sapporo),0
Belgium,1944 Cancelled (Cortina d'Ampezzo),0
Belgium,1948 St. Moritz,0
Belgium,1952 Oslo,2
Belgium,1056 Cortina d'Ampezzo,0
Belgium,1960 Squaw Valley,0
Belgium,1964 Innsbruck,0
Belgium,1968 Grenoble,0
Belgium,1972 Sapporo,0
Belgium,1976 Innsbruck,0
Belgium,1980 Lake Placid,0
Belgium,1984 Sarajevo,0
Belgium,1988 Calgary,0
Belgium,1992 Albertville,0
Belgium,1994 Lillehammer,0
Belgium,1998 Nagano,0
Belgium,2002 Salt Lake City,1
Belgium,2006 Turin,0
Belgium,2010 Vancouver,0
Belgium,2014 Sochi,0
Romania,1924 Chamonix,0
Romania,1928 St. Moritz,0
Romania,1932 Lake Placid,0
Romania,1935 Garmisch-Partenkirchen,0
Romania,1940 Cancelled (Sapporo),0
Romania,1944 Cancelled (Cortina d'Ampezzo),0
Romania,1948 St. Moritz,0
Romania,1952 Oslo,0
Romania,1056 Cortina d'Ampezzo,0
Romania,1960 Squaw Valley,0
Romania,1964 Innsbruck,0
Romania,1968 Grenoble,0
Romania,1972 Sapporo,1
Romania,1976 Innsbruck,0
Romania,1980 Lake Placid,0
Romania,1984 Sarajevo,0
Romania,1988 Calgary,0
Romania,1992 Albertville,0
Romania,1994 Lillehammer,0
Romania,1998 Nagano,0
Romania,2002 Salt Lake City,0
Romania,2006 Turin,0
Romania,2010 Vancouver,0
Romania,2014 Sochi,0
