school,Metric,score
PRINCETON,H-Index IREx16,4.368421053
UC SAN DIEGO,H-Index IREx16,2.555555556
YALE,H-Index IREx16,2.285714286
NYU,H-Index IREx16,1.875
BERKLEY,H-Index IREx16,3.2
CHICAGO,H-Index IREx16,3.333333333
WASHINGTON ST L,H-Index IREx16,2.5
DUKE,H-Index IREx16,2.846153846
NORTH CAROLINA CH,H-Index IREx16,1.916666667
UC DAVIS,H-Index IREx16,2.75
ROCHESTER,H-Index IREx16,1.142857143
PENN STATE,H-Index IREx16,3.5
RICE,H-Index IREx16,3
WISCONSIN MAD,H-Index IREx16,3.111111111
TEXAS A&M,H-Index IREx16,2
WASHINGTON,H-Index IREx16,2
UCLA,H-Index IREx16,2.153846154
ILLINOIS,H-Index IREx16,4.25
NORTHWESTERN,H-Index IREx16,1.75
GEORGE WASHINGTON,H-Index IREx16,3.6
EMORY,H-Index IREx16,2
OHIO STATE,H-Index IREx16,2.769230769
FLORIDA STATE,H-Index IREx16,2
INDIANA,H-Index IREx16,2.4
MINNESOTA,H-Index IREx16,2.1
MARYLAND,H-Index IREx16,0
BINGHAMTON,H-Index IREx16,3.857142857
MICHIGAN STATE,H-Index IREx16,1.25
STONY BROOK,H-Index IREx16,0
CORNELL,H-Index IREx16,1.666666667
PENN,H-Index IREx16,3.3
PITTSBURGH,H-Index IREx16,1
VANDERBILT,H-Index IREx16,2.333333333
UC RIVERSIDE,H-Index IREx16,0.5
TEXAS AUSTIN,H-Index IREx16,0.777777778
COLORADO,H-Index IREx16,3.75
IOWA,H-Index IREx16,2.8
ARIZONA,H-Index IREx16,1.6
BROWN,H-Index IREx16,2.571428571
UC IRVINE,H-Index IREx16,0.857142857
NOTRE DAME,H-Index IREx16,2.375
VIRGINIA,H-Index IREx16,2.6
UC SANTA BARBARA,H-Index IREx16,1.666666667
GEORGETOWN,H-Index IREx16,3.173913043
OREGON,H-Index IREx16,1.4
JOHNS HOPKINS,H-Index IREx16,1.555555556
SYRACUSE,H-Index IREx16,1.454545455
STANFORD,POLS+IR16,427.6363636
HARVARD,POLS+IR16,130
MICHIAN AA,POLS+IR16,221.2
COLUMBIA,POLS+IR16,236.9090909
MIT,POLS+IR16,9.6875
PRINCETON,POLS+IR16,387.4736842
UC SAN DIEGO,POLS+IR16,184.4444444
YALE,POLS+IR16,265.8571429
NYU,POLS+IR16,139
BERKLEY,POLS+IR16,18.1
CHICAGO,POLS+IR16,11.66666667
WASHINGTON ST L,POLS+IR16,64.5
DUKE,POLS+IR16,162.2307692
NORTH CAROLINA CH,POLS+IR16,44
UC DAVIS,POLS+IR16,196
